date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:29:58	247944/247944	---MCZ	200	added ('OK')	text/html	etag:W/%22p8l29y5bbc%22	https://cs61a.org/	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/index.html	(from )
19:29:59	76/76	---M-Z	200	added ('OK')	text/plain	etag:W/%22p8l29v1g%22	https://cs61a.org/robots.txt		(from )
19:29:59	85578/85578	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:42:33%20GMT	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/Users/yzkti/Desktop/cs61a%20spring2018/cdnjs.cloudflare.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://cs61a.org/)
19:29:59	37045/37045	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2026%20Jul%202016%2007:16:08%20GMT	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js	C:/Users/yzkti/Desktop/cs61a%20spring2018/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/js/bootstrap.min.js	(from https://cs61a.org/)
19:30:00	46003/46003	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2031%20May%202017%2003:33:43%20GMT	https://cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/highlight.min.js	C:/Users/yzkti/Desktop/cs61a%20spring2018/cdnjs.cloudflare.com/ajax/libs/highlight.js/9.12.0/highlight.min.js	(from https://cs61a.org/)
19:30:00	121200/121200	---MCZ	200	added ('OK')	text/css	date:Tue,%2026%20Jul%202016%2007:16:08%20GMT	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/yzkti/Desktop/cs61a%20spring2018/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/3.3.7/css/bootstrap.min.css	(from https://cs61a.org/)
19:30:00	10919/10919	---MCZ	200	added ('OK')	text/css	etag:W/%22p8l29w8fb%22	https://cs61a.org/assets/css/style.css	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/assets/css/style.css	(from https://cs61a.org/)
19:30:01	965/965	---M-Z	200	added ('OK')	text/css	etag:W/%22p8l29wqt%22	https://cs61a.org/assets/css/mono-blue.css	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/assets/css/mono-blue.css	(from https://cs61a.org/)
19:30:02	1406/1406	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22p8l29w132%22	https://cs61a.org/assets/images/favicon.ico	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/assets/images/favicon.ico	(from https://cs61a.org/)
19:30:02	4898/4898	---M-Z	200	added ('OK')	text/html	etag:W/%22p8l29y3s2%22	https://cs61a.org/weekly.html	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/weekly.html	(from https://cs61a.org/)
19:30:03	6156/6156	---M-Z	200	added ('OK')	text/html	etag:W/%22p8l29y4r0%22	https://cs61a.org/office-hours.html	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/office-hours.html	(from https://cs61a.org/)
19:30:03	75253/75253	---MCZ	200	added ('OK')	text/html	etag:W/%22p8l29y1m2d%22	https://cs61a.org/staff.html	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/staff.html	(from https://cs61a.org/)
19:30:04	249018/249018	---MCZ	200	added ('OK')	text/html	etag:W/%22p8l29x5c56%22	https://cs61a.org/resources.html	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/resources.html	(from https://cs61a.org/)
19:30:04	30827/30827	---MCZ	200	added ('OK')	text/html	etag:W/%22p8l29vnsb%22	https://cs61a.org/articles/about.html	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/articles/about.html	(from https://cs61a.org/)
19:30:05	11848/11848	---MCZ	200	added ('OK')	text/html	etag:W/%22p8l29v954%22	https://cs61a.org/extra.html	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/extra.html	(from https://cs61a.org/)
19:30:05	10573/10573	---MCZ	200	added ('OK')	text/html	etag:W/%22p8l29x85p%22	https://cs61a.org/exams/final.html	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/exams/final.html	(from https://cs61a.org/)
19:30:06	56/56	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20May%202018%2023:29:39%20GMT	https://cs61a.org/proj/scheme_gallery	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/proj/scheme_gallery.e.delayed	(from https://cs61a.org/)
19:30:07	25332/25332	---MCZ	200	added ('OK')	text/html	etag:W/%22p8l29yjjo%22	https://cs61a.org/proj/scheme_gallery/	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/proj/scheme_gallery/index.html	(from https://cs61a.org/)
19:30:07	431148/431148	---M--	200	added ('OK')	application/pdf	etag:%22p8l29v98oc%22	https://cs61a.org/assets/slides/36-Distributed_Data_full.pdf	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/assets/slides/36-Distributed_Data_full.pdf	(from https://cs61a.org/)
19:30:07	267446/267446	---M--	200	added ('OK')	application/pdf	etag:%22p8l29v5qd2%22	https://cs61a.org/assets/slides/36-Distributed_Data_1pp.pdf	C:/Users/yzkti/Desktop/cs61a%20spring2018/cs61a.org/assets/slides/36-Distributed_Data_1pp.pdf	(from https://cs61a.org/)
