date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:51:29	153/153	---M-Z	200	added ('OK')	text/plain	etag:%22110-4a173d6173a00-gzip%22	https://inst.eecs.berkeley.edu/robots.txt		(from )
20:51:31	60045/60045	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:02%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/index.html	(from )
20:51:31	12460/12460	---M--	200	added ('OK')	image/png	etag:%2230ac-56314a3a64b1d%22	https://inst.eecs.berkeley.edu/~cs61c/sp18/img/icon3.png	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/img/icon3.png	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:31	117305/117305	---M-Z	200	added ('OK')	text/css	etag:%221ca39-56314a39f8c93-gzip%22	https://inst.eecs.berkeley.edu/~cs61c/sp18/bootstrap-dist/css/bootstrap.min.css	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/bootstrap-dist/css/bootstrap.min.css	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:31	485/485	---M-Z	200	added ('OK')	text/css	etag:%221e5-56314a39ff609-gzip%22	https://inst.eecs.berkeley.edu/~cs61c/sp18/css/navbar-fixed-top.css	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/css/navbar-fixed-top.css	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:32	6001/6001	---M-Z	200	added ('OK')	text/css	etag:%221771-56314a39ff220-gzip%22	https://inst.eecs.berkeley.edu/~cs61c/sp18/css/balloon.css	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/css/balloon.css	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:32	28643/28643	---M-Z	200	added ('OK')	text/css	etag:%226fe3-56314a3a08e61-gzip%22	https://inst.eecs.berkeley.edu/~cs61c/sp18/fullcalendar/fullcalendar.css	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/fullcalendar/fullcalendar.css	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:34	5545/5545	---M-Z	200	added ('OK')	text/css	etag:%2215a9-56314a3a0cce0-gzip%22	https://inst.eecs.berkeley.edu/~cs61c/sp18/fullcalendar/fullcalendar.print.css	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/fullcalendar/fullcalendar.print.css	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:34	60045/60045	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:07%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/.	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:34	30133/30133	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20May%202018%2000:51:07%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/policies.php	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/policies.html	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:35	481270/481270	---M--	200	added ('OK')	image/jpeg	etag:%22757f6-56314a3a61c44%22	https://inst.eecs.berkeley.edu/~cs61c/sp18/img/dphoto2_web.jpg	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/img/dphoto2_web.jpg	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:35	38912/38912	---M--	200	added ('OK')	image/jpeg	etag:%229800-56314a3a58bb5%22	https://inst.eecs.berkeley.edu/~cs61c/sp18/img/P&H.jpg	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/img/P&H.jpg	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:38	10297/10297	---M--	200	added ('OK')	image/jpeg	etag:%222839-56314a3a58f9e%22	https://inst.eecs.berkeley.edu/~cs61c/sp18/img/WSC.jpg	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/img/WSC.jpg	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
20:51:38	346/346	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2017%20May%202018%2000:51:11%20GMT	https://inst.eecs.berkeley.edu/~cs61c/sp18/lec/01	C:/Users/yzkti/Desktop/cs61c%20spring2018/inst.eecs.berkeley.edu/_cs61c/sp18/lec/01	(from https://inst.eecs.berkeley.edu/~cs61c/sp18/)
