date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:59	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225aac7091-247c%22	http://www.eecs70.org/robots.txt		(from )
19:46:00	123684/123684	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/index.html	(from )
19:46:01	85578/85578	---M-Z	200	added ('OK')	application/javascript	etag:W/%22573f4859-14e4a%22	https://code.jquery.com/jquery-2.2.4.min.js	C:/Users/yzkti/Desktop/cs70%20spring2018/code.jquery.com/jquery-2.2.4.min.js	(from http://www.eecs70.org/)
19:46:01	28759/28759	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.6.0/css/font-awesome.min.css	C:/Users/yzkti/Desktop/cs70%20spring2018/maxcdn.bootstrapcdn.com/font-awesome/4.6.0/css/font-awesome.min.css	(from http://www.eecs70.org/)
19:46:02	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221519106275%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	C:/Users/yzkti/Desktop/cs70%20spring2018/maxcdn.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	(from http://www.eecs70.org/)
19:46:02	5638/5638	---MCZ	200	added ('OK')	application/javascript	etag:W/%221606-H/ZiGK7LO21Ah1cIOjYq5Am4CNQ%22	http://cdn.jsdelivr.net/jquery.marquee/1.4.0/jquery.marquee.min.js	C:/Users/yzkti/Desktop/cs70%20spring2018/cdn.jsdelivr.net/jquery.marquee/1.4.0/jquery.marquee.min.js	(from http://www.eecs70.org/)
19:46:02	9299/9299	---M-Z	200	added ('OK')	text/css	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/css/style.min.css	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/css/style.min.css	(from http://www.eecs70.org/)
19:46:03	2932/2932	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/js/script.min.js	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/js/script.min.js	(from http://www.eecs70.org/)
19:46:03	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20May%202018%2023:45:36%20GMT	http://www.eecs70.org/calendar	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/calendar	(from http://www.eecs70.org/)
19:46:03	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20May%202018%2023:45:36%20GMT	http://www.eecs70.org/resources	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/resources	(from http://www.eecs70.org/)
19:46:03	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20May%202018%2023:45:37%20GMT	http://www.eecs70.org/syllabus	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/syllabus	(from http://www.eecs70.org/)
19:46:04	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20May%202018%2023:45:37%20GMT	http://www.eecs70.org/staff	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/staff	(from http://www.eecs70.org/)
19:46:04	7364/7364	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/calendar/	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/calendar/index.html	(from http://www.eecs70.org/)
19:46:04	32471/32471	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/resources/	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/resources/index.html	(from http://www.eecs70.org/)
19:46:05	8738/8738	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/images/ayazifar.jpg	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/images/ayazifar.jpg	(from http://www.eecs70.org/)
19:46:05	24495/24495	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Apr%202018%2005:49:19%20GMT	http://www.eecs70.org/syllabus/	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/syllabus/index.html	(from http://www.eecs70.org/)
19:46:05	32169/32169	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/staff/	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/staff/index.html	(from http://www.eecs70.org/)
19:46:06	9117/9117	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/images/rao.jpg	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/images/rao.jpg	(from http://www.eecs70.org/)
19:46:17	68190/68190	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/discussions/dis00a.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/discussions/dis00a.pdf	(from http://www.eecs70.org/)
19:46:20	95228/95228	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n0.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n0.pdf	(from http://www.eecs70.org/)
19:46:26	126356/126356	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n1.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n1.pdf	(from http://www.eecs70.org/)
19:46:27	127297/127297	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/notes/n2.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/notes/n2.pdf	(from http://www.eecs70.org/)
19:46:31	63363/63363	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/discussions/dis00b.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/discussions/dis00b.pdf	(from http://www.eecs70.org/)
19:46:32	88018/88018	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/discussions/dis00a-sol.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/discussions/dis00a-sol.pdf	(from http://www.eecs70.org/)
19:46:32	3367/3367	---M--	200	added ('OK')	application/x-tex	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/homeworks/hw00.tex	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/homeworks/hw00.tex	(from http://www.eecs70.org/)
19:46:38	76390/76390	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/discussions/dis00b-sol.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/discussions/dis00b-sol.pdf	(from http://www.eecs70.org/)
19:46:40	81115/81115	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/homeworks/hw00.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/homeworks/hw00.pdf	(from http://www.eecs70.org/)
19:46:49	104568/104568	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/homeworks/hw00-sol.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/homeworks/hw00-sol.pdf	(from http://www.eecs70.org/)
19:46:50	111020/111020	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/slides/lec-1-handout.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/slides/lec-1-handout.pdf	(from http://www.eecs70.org/)
19:47:02	121205/121205	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/slides/lec-1-6up.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/slides/lec-1-6up.pdf	(from http://www.eecs70.org/)
19:47:15	147169/147169	---M--	200	added ('OK')	application/pdf	date:Mon,%2030%20Apr%202018%2005:49:18%20GMT	http://www.eecs70.org/static/slides/lec-2-handout.pdf	C:/Users/yzkti/Desktop/cs70%20spring2018/www.eecs70.org/static/slides/lec-2-handout.pdf	(from http://www.eecs70.org/)
